UPC,ITEM NO.,MODEL,Brand,
37447080630,831676,PIRANHA,LEATHERMAN,--  -- 
37447243356,831681,PIRANHA,LEATHERMAN,--  -- 
847706007441,880228,T,LED LENSER,BLACK --  -- 
847706009377,880227,TT,LED LENSER,BLACK --  -- 
847706010472,880224,F1R,LED LENSER,BLACK -- RECHARGEABLE -- 
847706034010,880214,NEO ,LED LENSER,GREEN --  -- 
847706034027,880213,NEO ,LED LENSER,BLUE --  -- 
847706039114,880229,T,LED LENSER,BLACK --  -- 
847706040387,880292,TQC,LED LENSER,BLACK -- WHITE-RED-GREEN-BLUE -- 
847706048093,880225,F1R,LED LENSER,BLACK -- RECHARGEABLE -- 
847706056616,880133,F1,LED LENSER,BLACK --  -- 
847706077741,880222,F1W,LED LENSER,WHITE --  -- 
847706087467,880291,TQC,LED LENSER,BLACK -- WHITE-RED-GREEN-BLUE -- 
847706087801,880217,NEO ,LED LENSER,YELLOW --  -- 
847706089232,880215,NEO ,LED LENSER,ORANGE --  -- 
847706090702,880216,NEO ,LED LENSER,PINK --  -- 
847706093758,880223,F1W,LED LENSER,WHITE --  -- 
847706098296,880226,TT,LED LENSER,BLACK --  -- 
37447001161,832250,TREAD LINK 5,LEATHERMAN,BLACK --  -- 
37447002656,831805,RAIL,LEATHERMAN,BLACK --  -- MOLLE BLACK
37447003493,931018,TWEEZERS,LEATHERMAN,-- FOR STYLE -- 
37447006159,831795,OHT,LEATHERMAN,SILVER --  -- MOLLE BLACK
37447008948,832011,JUICE C2,LEATHERMAN,SUNRISE YELLOW --  -- 
37447008993,831844,LEAP,LEATHERMAN,RED --  -- 
37447009297,832237,TREAD LINK 4,LEATHERMAN,STAINLESS --  -- 
37447010644,832163,RAPTOR,LEATHERMAN,TAN --  -- MOLLE
37447018985,831330,CHARGE ALX,LEATHERMAN,BLACK --  -- MOLLE BLACK
37447020261,931019,TWEEZERS,LEATHERMAN,-- FOR STYLE CS -- 
37447020377,831226,SQUIRT PS4,LEATHERMAN,RED --  -- 
37447022784,831783,HAIL & STYLE PS,LEATHERMAN,-- NOT FOR CLIMBING -- 
37447027413,831227,SQUIRT PS4,LEATHERMAN,RED --  -- 
37447031113,831642,OHT,LEATHERMAN,COYOTE TAN --  -- MOLLE BROWN
37447041457,860011N,CRATER C33,LEATHERMAN,--  -- 
37447044137,831228,SQUIRT PS4,LEATHERMAN,RED --  -- 
37447045448,8600140N,CRATER C33,LEATHERMAN,--  -- 
37447048043,831936,JUICE C2,LEATHERMAN,GRANITE GRAY --  -- PREMIUM SHEATH
37447055072,832166,RAPTOR,LEATHERMAN,BLACK --  -- UTILITY
37447056499,831942,JUICE S2,LEATHERMAN,CINNABAR ORANGE --  -- PREMIUM SHEATH
37447057052,831331,WAVE,LEATHERMAN,BLACK --  -- MOLLE BLACK
37447062308,832170,RAPTOR,LEATHERMAN,ORANGE --  -- UTILITY
37447065866,831872,CRATER C33SX,LEATHERMAN,BLACK --   -- 
37447068164,860021N,CRATER C33X,LEATHERMAN,--  -- 
37447070860,832231,TREAD,LEATHERMAN,STAINLESS --  -- 
37447073151,831960,JUICE XE6,LEATHERMAN,MOSS GREEN --  -- 
37447073366,831777,RIME,LEATHERMAN,-- NOT FOR CLIMBING -- 
37447073892,832017,JUICE XE6,LEATHERMAN,GRANITE GRAY --  -- 
37447074288,831664,WAVE,LEATHERMAN,BLACK -- CAP CRIMPER -- MOLLE BLACK
37447078781,832252,TREAD LINK 7,LEATHERMAN,BLACK --  -- 
37447080111,8600240N,CRATER C33X,LEATHERMAN,--  -- 
37447087660,831345,CHARGE ALX,LEATHERMAN,BLACK -- SQUARE BIT -- MOLLE BLACK
37447088360,830751,SURGE,LEATHERMAN,-- SQUARE BIT -- PREMIUM SHEATH
37447097782,830078,WAVE,LEATHERMAN,--  -- PREMIUM SHEATH
37447101076,831985,JUICE S2,LEATHERMAN,GRANITE GRAY --  -- PREMIUM SHEATH
37447102073,930378,CARABINER CAP LIFTER,LEATHERMAN,--  -- 
37447102110,831665,WAVE,LEATHERMAN,BLACK -- CAP CRIMP & SQUARE BIT -- MOLLE BLACK
